OrderDate,RequiredDate,ShippedDate,OrderFreight,OrderShipName,OrderShipAddress,OrderShipCity,OrderShipRegion,OrderShipPostalCode,OrderShipCountry,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Phone2
1997-02-25,1997-04-08,1997-02-28,8.12,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
1997-02-25,1997-03-25,1997-03-03,11.57,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
1997-02-26,1997-03-26,1997-03-04,147.06,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
1997-02-27,1997-03-27,1997-02-28,25.09,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87
1997-02-28,1997-03-28,1997-03-03,16.27,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21,
1997-02-28,1997-03-28,1997-03-05,148.61,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
1997-03-03,1997-03-31,1997-03-18,6.17,Consolidated Holdings,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,(171) 555-9199
1997-03-04,1997-04-01,1997-03-06,14.78,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
1997-03-04,1997-04-01,1997-03-14,89,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
1997-03-05,1997-04-02,1997-03-14,145.04,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44
1997-03-06,1997-04-03,1997-03-13,11.93,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,
1997-03-06,1997-04-03,1997-03-11,4.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231
1997-03-07,1997-04-04,1997-03-12,44.12,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
1997-03-10,1997-04-07,1997-03-14,60.18,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
1997-03-11,1997-04-08,1997-03-14,64.56,Bon app',"12, rue des Bouchers",Marseille,,13008,France,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41
1997-03-11,1997-04-08,1997-03-18,45.59,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
1997-03-12,1997-04-09,1997-03-19,4.2,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
1997-03-13,1997-03-27,1997-03-21,16.37,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,
1997-03-13,1997-04-10,1997-03-21,83.49,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745
1997-03-14,1997-04-11,1997-04-04,68.52,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
1997-03-17,1997-04-14,1997-03-24,4.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
1997-03-17,1997-04-14,1997-03-25,13.02,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,
1997-03-18,1997-04-01,1997-03-26,4.81,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87
1997-03-19,1997-04-16,1997-03-21,708.95,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620
1997-03-20,1997-04-17,1997-03-24,1.35,Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,France,Folies gourmandes,Martine Rancé,Assistant Sales Agent,"184, chaussée de Tournai",Lille,,59000,France,20.16.10.16,20.16.10.17
1997-03-20,1997-04-17,1997-03-25,64.33,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,
1997-03-21,1997-04-18,1997-04-10,7.48,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221
1997-03-24,1997-04-21,1997-04-25,15.28,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
1997-03-24,1997-04-21,1997-04-01,6.88,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
1997-03-25,1997-04-08,1997-03-31,64.45,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
1997-03-26,1997-04-23,1997-04-02,30.53,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
1997-03-26,1997-04-23,1997-03-28,71.07,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,
1997-03-27,1997-04-24,1997-04-02,4.93,Frankenversand,Berliner Platz 43,München,,80805,Germany,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451
1997-03-28,1997-04-25,1997-04-09,5.29,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723
1997-03-31,1997-04-28,1997-04-03,210.19,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
1997-03-31,1997-04-28,1997-04-08,16.96,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
1997-04-01,1997-04-29,1997-04-11,62.89,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
1997-04-02,1997-04-30,1997-04-10,10.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10,61.77.61.11
1997-04-02,1997-04-30,1997-04-09,65.99,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,Comércio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,
1997-04-03,1997-05-01,1997-04-11,4.65,Laughing Bacchus Wine Cellars,2319 Elm St.,Vancouver,BC,V3F 2K1,Canada,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293
1997-04-04,1997-05-02,1997-04-07,46.77,Tradiçao Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168
1997-04-04,1997-05-02,1997-04-07,36.21,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
1997-04-07,1997-05-05,1997-04-11,29.75,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
1997-04-08,1997-05-06,1997-04-16,102.02,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
1997-04-09,1997-05-07,1997-04-17,42.68,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10,61.77.61.11
1997-04-09,1997-05-07,1997-04-16,8.85,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
1997-04-10,1997-05-08,1997-04-29,69.32,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745
1997-04-11,1997-05-09,1997-04-16,16.74,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333
1997-04-11,1997-05-09,1997-04-18,59.13,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
1997-04-14,1997-05-12,1997-04-21,7.13,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055
1997-04-15,1997-05-13,1997-05-02,21.19,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
1997-04-15,1997-05-13,1997-04-22,47.45,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,,05023,Mexico,(5) 555-3932,
1997-04-16,1997-05-14,1997-05-13,4.99,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,,50739,Germany,0221-0644327,0221-0765721
1997-04-17,1997-05-15,1997-04-29,0.15,Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
1997-04-18,1997-05-16,1997-04-28,367.63,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,
1997-04-18,1997-05-16,1997-04-21,350.64,Bon app',"12, rue des Bouchers",Marseille,,13008,France,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41
1997-04-21,1997-05-19,1997-04-24,3.53,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,
1997-04-22,1997-06-03,1997-04-28,105.65,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,,70563,Germany,0711-020361,0711-035428
1997-04-22,1997-05-20,1997-05-16,789.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426
1997-04-23,1997-05-07,1997-05-23,204.47,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,
1997-04-24,1997-05-22,1997-05-01,62.78,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333
1997-04-24,1997-05-22,1997-04-29,32.07,North/South,South House 300 Queensbridge,London,,SW7 1RZ,UK,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530
1997-04-25,1997-05-09,1997-05-05,218.15,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,,05033,Mexico,(5) 555-2933,
1997-04-28,1997-05-26,1997-05-01,91.76,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,
1997-04-29,1997-05-27,1997-05-01,13.37,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,,4110,Norway,07-98 92 35,07-98 92 47
1997-04-29,1997-05-27,1997-05-02,17.22,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,,1010,Argentina,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892
1997-04-30,1997-05-28,1997-05-06,45.33,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
1997-05-01,1997-05-29,1997-05-30,77.63,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
1997-05-01,1997-05-29,1997-05-07,244.79,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
1997-05-02,1997-05-30,1997-05-23,11.06,Bon app',"12, rue des Bouchers",Marseille,,13008,France,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41
1997-05-05,1997-06-02,1997-05-15,58.59,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655
1997-05-05,1997-06-02,1997-05-07,41.9,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,
1997-05-06,1997-05-20,1997-05-09,3.35,Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,
1997-05-07,1997-06-04,1997-05-09,66.69,Maison Dewey,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68
1997-05-08,1997-06-05,1997-05-12,339.22,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723
1997-05-08,1997-06-05,1997-05-19,8.12,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
1997-05-09,1997-06-06,1997-05-12,74.46,Eastern Connection,35 King George,London,,WX3 6FW,UK,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373
1997-05-12,1997-06-09,1997-05-22,188.04,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,Folk och fä HB,Maria Larsson,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21,
1997-05-12,1997-06-09,1997-05-14,27.94,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
1997-05-13,1997-06-10,1997-05-21,15.64,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,,05023,Mexico,(5) 555-3932,
1997-05-14,1997-06-11,1997-06-06,58.88,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
1997-05-14,1997-05-28,1997-05-19,78.85,Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,,1203,Switzerland,0897-034214,
1997-05-15,1997-06-12,1997-05-16,4.87,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
1997-05-16,1997-06-13,1997-05-23,12.36,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
1997-05-19,1997-06-16,1997-06-13,1007.64,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,
1997-05-19,1997-06-16,1997-05-29,68.65,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765
1997-05-20,1997-06-17,1997-05-26,10.95,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
1997-05-21,1997-06-18,1997-05-23,48.17,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
1997-05-21,1997-06-18,1997-05-30,24.91,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646
1997-05-22,1997-06-19,1997-06-26,11.92,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221
1997-05-23,1997-06-20,1997-05-27,194.72,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87
1997-05-23,1997-06-20,1997-06-02,178.43,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
1997-05-26,1997-06-23,1997-06-02,1.43,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,,44087,Germany,0251-031259,0251-035695
1997-05-27,1997-06-10,1997-05-30,171.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,
1997-05-28,1997-06-25,1997-06-06,4.32,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,,41101,Spain,(95) 555 82 82,
1997-05-28,1997-07-09,1997-06-06,72.95,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
1997-05-29,1997-06-26,1997-06-05,83.22,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
1997-05-30,1997-06-27,1997-06-03,149.49,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655
1997-05-30,1997-06-27,1997-06-05,120.97,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,,50739,Germany,0221-0644327,0221-0765721
1997-06-02,1997-06-30,1997-06-04,252.49,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,
1997-06-03,1997-07-15,1997-06-13,9.8,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,,1734,Denmark,31 12 34 56,31 13 35 57
1997-06-03,1997-06-17,1997-06-06,96.72,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
1997-06-04,1997-07-02,1997-06-10,72.97,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
1997-06-05,1997-07-03,1997-06-13,8.05,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32
